structure_id,formula,F,D,P,stoich_F,stoich_D,stoich_P,anion,track,polymorph,bonding_class,ICSD_Status
LaNiP__hexagonal,LaNiP,La,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
CeNiP__hexagonal,CeNiP,Ce,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
PrCoP__tetragonal,PrCoP,Pr,Co,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
PrNiP__hexagonal,PrNiP,Pr,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
NdCoP__tetragonal,NdCoP,Nd,Co,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
NdNiP__hexagonal,NdNiP,Nd,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
SmFeP__tetragonal,SmFeP,Sm,Fe,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
SmCoP__tetragonal,SmCoP,Sm,Co,P,1,1,1,P,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
SmNiP__hexagonal,SmNiP,Sm,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
EuCuP__hexagonal,EuCuP,Eu,Cu,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
EuAgP__hexagonal,EuAgP,Eu,Ag,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
GdCoC__tetragonal,GdCoC,Gd,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
TbCoC__tetragonal,TbCoC,Tb,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
DyCoC__tetragonal,DyCoC,Dy,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
DyNiP__hexagonal,DyNiP,Dy,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
HoCoC__tetragonal,HoCoC,Ho,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
ErCoC__tetragonal,ErCoC,Er,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
ErNiP__hexagonal,ErNiP,Er,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
TmCoC__tetragonal,TmCoC,Tm,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
TmNiP__hexagonal,TmNiP,Tm,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
LuCoC__tetragonal,LuCoC,Lu,Co,C,1,1,1,C,relaxed_intermetallic,tetragonal,Intermetallic,ICSD
LuNiP__hexagonal,LuNiP,Lu,Ni,P,1,1,1,P,relaxed_intermetallic,hexagonal,Intermetallic,ICSD
LaCoC2__monoclinic,LaCoC2,La,Co,C,1,1,2,C,relaxed_intermetallic,monoclinic,Intermetallic,ICSD
LaNiC2__orthorhombic,LaNiC2,La,Ni,C,1,1,2,C,relaxed_intermetallic,orthorhombic,Intermetallic,ICSD
LaNiO2__tetragonal,LaNiO2,La,Ni,O,1,1,2,O,strict_ionic,tetragonal,Ionic,ICSD
LaCuO2__trigonal,LaCuO2,La,Cu,O,1,1,2,O,strict_ionic,trigonal,Ionic,ICSD
LaCuS2__monoclinic,LaCuS2,La,Cu,S,1,1,2,S,strict_ionic,monoclinic,Ionic,ICSD
